server_id,user_id
tts-98772733,NYS:HUBB
tts-98691180,NAS:CSX
tts-97315627,NAS:MTCH
tts-96649775,NYS:HPE
tts-96423906,NAS:TMUS
tts-9545523,NAS:PODD
tts-931139,NYS:MOH
tts-91263224,NAS:PYPL
tts-90308539,NAS:KHC
tts-89712747,NYS:ZBH
tts-85481127,NAS:ETSY
tts-85128742,NAS:ON
tts-84995962,NYS:GDDY
tts-832561,NAS:NDSN
tts-832505,NAS:LRCX
tts-832472,NAS:KLAC
tts-832406,NAS:IDXX
tts-832375,NAS:HOLX
tts-832355,NAS:HBAN
tts-832261,NAS:FITB
tts-832208,NAS:ERIE
tts-832177,NAS:EBAY
tts-832098,NAS:CTAS
tts-832092,NAS:CSGP
tts-832041,NAS:CINF
tts-831856,NAS:AKAM
tts-831838,NAS:ADSK
tts-831814,NAS:AAPL
tts-831103,NAS:ZBRA
tts-831069,NAS:WYNN
tts-830966,NAS:VRSN
tts-830842,NAS:TTWO
tts-830823,NAS:TSCO
tts-830813,NAS:TROW
tts-830806,NAS:TRMB
tts-830675,NAS:TECH
tts-830638,NAS:SWKS
tts-830598,NAS:STLD
tts-830523,NAS:SNPS
tts-830408,NAS:SBUX
tts-830361,NAS:ROST
tts-830313,NAS:REGN
tts-830263,NAS:QCOM
tts-830133,NAS:PCAR
tts-830046,NAS:NVDA
tts-830030,NAS:NTRS
tts-830016,NAS:NTAP
tts-829933,NAS:NFLX
tts-829802,NAS:MSFT
tts-829623,NAS:MCHP
tts-829435,NAS:JKHY
tts-829418,NAS:JBHT
tts-829383,NAS:ISRG
tts-829359,NAS:INTU
tts-829352,NAS:INTC
tts-829309,NAS:INCY
tts-829202,NAS:HSIC
tts-829063,NAS:GILD
tts-828913,NAS:FFIV
tts-828870,NAS:FAST
tts-828861,NAS:EXPE
tts-828860,NYS:EXPD
tts-828800,NAS:EQIX
tts-828632,NAS:DLTR
tts-828600,NAS:DELL
tts-828513,NAS:CTSH
tts-828468,NAS:CSCO
tts-828408,NAS:CPRT
tts-828403,NAS:COST
tts-828358,NYS:NSC
tts-828340,NAS:CMCSA
tts-828275,NAS:CHTR
tts-828266,NAS:CHRW
tts-828179,NYS:GPN
tts-828123,NYS:EMN
tts-828100,NYS:DIS
tts-828055,NYS:CL
tts-827969,NYS:ATO
tts-827769,NAS:ANSS
tts-827736,NYS:XOM
tts-827705,NAS:AMZN
tts-827695,NYS:WY
tts-827665,NYS:WMT
tts-827659,NYS:WMB
tts-827658,NYS:WM
tts-827634,NYS:WEC
tts-827621,NYS:WAB
tts-827593,NAS:AMGN
tts-827564,NYS:V
tts-827549,NYS:USB
tts-827545,NYS:UPS
tts-827542,NYS:UNP
tts-827539,NAS:AMAT
tts-827537,NYS:UNH
tts-827518,NYS:UDR
tts-827482,NYS:TXT
tts-827432,NYS:TPL
tts-827425,NAS:ALGN
tts-827410,NYS:TMO
tts-827389,NYS:TJX
tts-827371,NYS:TFX
tts-827362,NYS:TDY
tts-827333,NYS:SYY
tts-827310,NYS:SWK
tts-827294,NYS:STZ
tts-827261,NYS:SRE
tts-827241,NYS:SPG
tts-827189,NYS:SLB
tts-827065,NYS:RL
tts-827038,NAS:ADBE
tts-827019,NYS:RCL
tts-826992,NYS:PWR
tts-826956,NYS:PRU
tts-826938,NAS:ACGL
tts-826933,NYS:PPG
tts-826919,NYS:PNW
tts-826918,NYS:PNR
tts-826879,NYS:PKG
tts-826853,NYS:PHM
tts-826848,NYS:PH
tts-826847,NYS:PGR
tts-826840,NYS:PG
tts-826756,NYS:OXY
tts-826733,NYS:OMC
tts-826708,NYS:O
tts-826630,NYS:NOC
tts-826586,NYS:NI
tts-826422,NYS:MTD
tts-826421,NYS:MTB
tts-826414,NYS:MRO
tts-826413,NYS:MRK
tts-826399,NYS:MO
tts-826391,NYS:MMM
tts-826366,NYS:MKC
tts-826333,NYS:MHK
tts-826329,NYS:MGM
tts-826316,NYS:MET
tts-826302,NYS:MDT
tts-826286,NYS:MCK
tts-826254,NYS:MAA
tts-826218,NYS:LOW
tts-826167,NYS:LH
tts-826145,NYS:LEN
tts-826122,NYS:L
tts-825992,NYS:KO
tts-825957,NYS:KIM
tts-825840,NYS:JPM
tts-825807,NYS:JNJ
tts-825697,NYS:ITW
tts-825613,NYS:IRM
tts-825590,NYS:IR
tts-825561,NYS:IPG
tts-825324,NYS:IFF
tts-825299,NYS:IEX
tts-825194,NYS:IBM
tts-825120,NYS:HUM
tts-825092,NYS:HSY
tts-825004,NYS:HIG
tts-824874,NYS:HD
tts-824829,NYS:HAL
tts-824806,NYS:GS
tts-824791,NYS:GPC
tts-824779,NYS:GLW
tts-824756,NYS:GE
tts-824752,NYS:GD
tts-824723,NYS:FRT
tts-824662,NYS:FE
tts-824661,NYS:FDS
tts-824654,NYS:FCX
tts-824612,NYS:EQT
tts-824588,NYS:EMR
tts-824577,NYS:EL
tts-824574,NYS:EIX
tts-824557,NYS:ED
tts-824544,NYS:DVA
tts-824535,NYS:DTE
tts-824528,NYS:DRI
tts-824512,NYS:DOW
tts-824511,NYS:DOV
tts-824489,NYS:DHI
tts-824488,NYS:DGX
tts-824486,NYS:DG
tts-824485,NYS:DFS
tts-824481,NYS:DE
tts-824472,NYS:DD
tts-824463,NYS:DAL
tts-824461,NYS:D
tts-824409,NYS:CRM
tts-824408,NYS:CRL
tts-824385,NYS:COP
tts-824358,NYS:CMS
tts-824346,NYS:CLX
tts-824309,NYS:CI
tts-824299,NYS:CHD
tts-824286,NYS:CF
tts-824264,NYS:CCL
tts-824244,NYS:CB
tts-824243,NYS:CAT
tts-824240,NYS:CAH
tts-824238,NYS:CAG
tts-824210,NYS:BSX
tts-824192,NYS:BRK.B
tts-824158,NYS:BLK
tts-824133,NYS:BG
tts-824128,NYS:BF.B
tts-824123,NYS:BEN
tts-824119,NYS:BDX
tts-824108,NYS:BBY
tts-824095,NYS:BAX
tts-824090,NYS:BAC
tts-824081,NYS:AXP
tts-824074,NYS:AVY
tts-824068,NYS:AVB
tts-824038,NYS:APH
tts-824036,NYS:AOS
tts-824014,NYS:AME
tts-824013,NYS:PLD
tts-824005,NYS:ALL
tts-824002,NYS:ALB
tts-823967,NYS:AES
tts-823958,NYS:ADM
tts-823937,NYS:ABT
tts-823911,NYS:A
tts-822019,NYS:YUM
tts-821964,NYS:WST
tts-821909,NYS:WFC
tts-821879,NYS:WAT
tts-821874,NYS:VZ
tts-821867,NYS:VTR
tts-821842,NYS:VMC
tts-821840,NYS:VLO
tts-821785,NYS:URI
tts-821755,NYS:UHS
tts-821727,NYS:TYL
tts-821674,NYS:TSN
tts-821580,NYS:TGT
tts-821527,NYS:T
tts-821521,NYS:SYK
tts-821499,NYS:STT
tts-821491,NYS:STE
tts-821436,NYS:SO
tts-821428,NYS:SNA
tts-821396,NYS:SJM
tts-821387,NYS:SHW
tts-821288,NYS:RSG
tts-821263,NYS:ROL
tts-821260,NYS:ROK
tts-821247,NYS:RMD
tts-821244,NYS:RJF
tts-821214,NYS:RF
